R101;drucker4;drucker;aa:bb:cc:11:22:aa;10.16.57.4;;;;printer;;0;;;;;
# First line new;;;;;;;;;;;;;;;
R101;02christophe;allg;48:5B:39:0B:2E:C2;100.100.100.100;255.240.0.0;1;1;staffcomputer;1;0;;;;;
a001;01arnaud;allg;00:E0:4C:78:04:77;10.16.99.99;255.240.0.0;1;1;staffcomputer;1;0;;;;;
a021;02chrtophe;allg;48:5B:39:0B:2E:C4;100.100.100.102;255.240.0.0;1;1;staffcomputer;1;0;;;;;
admin;nas;allg;00:10:75:25:6A:69;10.16.1.13;255.240.0.0;1;1;server;1;0;;;;test comment;
admin;nas171;allg;00:11:75:25:6A:67;10.16.1.137;255.240.0.0;1;1;server;1;0;;;;test comment;
admin;nas172;allg;00:11:75:25:6A:69;10.16.1.147;255.240.0.0;1;1;server;1;0;;;;test comment;
admin;nas2;allg;00:10:71:25:FA:69;10.16.1.17;255.240.0.0;1;1;server;1;0;;;;test comment;
admin;nas3-admin;allg;00:10:71:25:FA:79;101.102.103.106;255.240.0.0;1;1;server;1;0;;;;test comment;
admin;nas4-admin;allg;00:10:71:25:FA:78;101.102.103.105;255.240.0.0;1;1;server;1;0;;;;test comment;
admin;proxmox;allg;00:1E:C9:F7:ED:02;10.16.1.252;255.240.0.0;1;1;server;1;0;;;;;
appart;wohnung;krx;D4:C9:EF:ED:EB:80;10.16.100.5;255.240.0.0;1;1;staffcomputer;1;1;;;;;
cuisine;dienst03;machin;D4:C9:EF:EE:D9:77;10.16.40.3;255.240.0.0;1;1;classroom-studentcomputer;1;1;;;;;
cuisine;dienst06;101;0C:9D:92:18:1D:5E;10.16.40.6;;1;1;classroom-studentcomputer;1;1;;;;;
cuisine;koch-pc;testwin;2C:46:FD:39:F0:27;10.16.100.2;255.240.0.0;1;1;staffcomputer;1;1;;;;;
dienst;dienst05;101;B0:6E:BF:32:B3:D9;10.16.40.5;;;;classroom-studentcomputer;1;1;;;;;
dienst;dienst07;101;40:B0:76:0F:3B:60;10.16.40.7;;1;1;classroom-studentcomputer;1;1;;;;;
dienst;dienst08;100;40:B0:76:0F:3B:9E;10.16.40.8;;1;1;classroom-studentcomputer;1;1;;;;;
dienst;dienst09;101;40:B0:76:0F:3F:96;10.16.40.9;;1;1;classroom-studentcomputer;1;1;;;;;
etudemoy;etudemoy0165432;101;D4:C9:EF:ED:DD:D6;10.16.30.1;255.240.0.0;1;1;classroom-studentcomputer;1;1;;;;;
imprimante;hpm402dn;printers;C8:D3:FF:B0:66:F0;10.16.200.1;255.240.0.0;1;1;classroom-studentcomputer;1;0;;;;;
kissy;sfb7;101;DA:A3:8A:90:93:E2;10.0.0.15;;;;classroom-studentcomputer;;1;;;;;
kissy;sfb9;101;DB:A3:8A:90:93:E7;10.0.0.97;;;;classroom-studentcomputer;;1;;;;;
kollegium;shelly8;smartbutton;0c:dc:7e:f3:d5:e9;10.30.20.31;---;---;;iponly;---;0;;;;MIGRATION;
lan-adaptor;power-lan-adapt;allg;B0:48:7A:D1:E4:B6;10.16.200.2;255.240.0.0;1;1;classroom-studentcomputer;1;0;;;;;
lehrer;02cistophe;allg;48:5B:39:0B:2E:C5;100.100.100.103;255.240.0.0;1;1;staffcomputer;1;0;;;;;

# PX client;;;;;;;;;;;;;;;
pxclient;client1;krx;66:80:7A:39:96:D5;10.0.0.100;;;;classroom-studentcomputer;;1;;;;;
pxclient;client2;krx;3a:96:3e:68:9e:c9;10.0.0.101;;;;classroom-studentcomputer;;1;;;;;
pxclient;client3;win;BC:24:11:EA:E9:06;10.0.0.102;;;;staffcomputer;;1;;;;;
r021;02chritophe;allg;48:5B:39:0B:2E:C3;100.100.100.101;255.240.0.0;1;1;staffcomputer;1;0;;;;;
server;debian-dockertests;nopxe;BC:24:11:19:2A:ED;10.0.0.3;;;;server;;0;;;;SETUP;
#server;dockerhost;nopxe;BC:24:11:A8:2A:00;10.0.0.4;;;;server;;0;;;;SETUP;
server;drucker1;drucker;aa:bb:cc:11:22:ff;10.16.57.1;;;;printer;;0;;;;;
server;drucker2;drucker;aa:bb:cc:11:22:fe;10.16.57.2;;;;printer;;0;;;;;
server;drucker3;drucker;aa:bb:cc:11:22:ee;10.16.57.3;;;;printer;;0;;;;;
server;edu;nopxe;BC:24:11:DB:16:D0;10.0.0.4;;;;server;;0;;;;SETUP;
server;file02;nopxe;BC:24:11:83:A4:46;10.0.0.11;;;;server;;0;;;;SETUP;
server;firewall;nopxe;DA:A2:8A:90:93:E2;10.0.0.254;;;;server;;0;;;;SETUP;
server;lmn;nopxe;2e:96:fd:21:10:3b;10.0.0.1;;;;server;;0;;;;SETUP;
server;server-jammy;nopxe;DA:B7:C2:1A:8D:56;10.0.0.99;;;;server;;0;;;;SETUP;
ubuntu-dev;ubuntu-dev;nopxe;7E:09:97:76:87:AF;10.0.0.200;;;;classroom-teachercomputer;;0;;;;;
wlan-router;wlan-router;allg;E7:DE:27:36:B6:3B;10.16.220.2;255.240.0.0;1;1;router;1;0;;;;;
wlan-router;wlan-router42;allg;E7:DE:27:36:76:3B;10.16.220.76;255.240.0.0;1;1;router;1;0;;;;;
wlan-router;wlan-router45;allg;E7:97:27:36:B6:3B;10.16.220.27;255.240.0.0;1;1;router;1;0;;;;;
wlan-router;wlan-router453;allg;E7:98:27:36:B6:3B;10.16.220.22;255.240.0.0;1;1;router;1;0;;;;;
wlan-router;wlan-router87;allg;E7:DA:27:36:B6:3B;10.16.220.28;255.240.0.0;1;1;router;1;0;;;;;
